450 500
42 18 135
401 270 125
229 109 163
165 306 146
332 178 162
42 296 143
328 37 192
205 303 154
293 233 22
267 369 96
48 127 172
289 70 113
18 200 36
445 354 12
273 184 74
165 292 112
354 119 148
195 263 158
238 260 124
292 80 179
167 336 191
43 289 107
41 393 65
149 447 6
141 430 171
51 157 102
94 399 30
24 235 155
307 141 167
177 432 109
295 40 27
74 138 139
369 283 130
342 334 116
140 409 105
31 28 107
174 337 22
396 375 73
421 430 178
274 148 113
137 241 162
187 306 168
256 275 32
353 351 151
292 125 167
281 58 192
8 88 58
138 304 184
96 360 10
309 372 189
123 197 107
431 214 169
1 192 163
306 311 160
175 288 149
184 146 42
3 51 92
237 375 21
97 172 149
250 319 85
182 235 54
200 319 139
151 189 128
18 129 94
349 434 8
172 361 18
314 65 110
417 36 52
351 300 120
57 299 104
375 209 45
210 140 103
46 236 94
394 374 188
65 54 49
1 409 19
331 447 199
432 240 199
110 158 73
223 89 93
189 330 191
408 309 192
16 389 157
262 3 35
423 256 129
147 263 87
426 84 70
343 445 17
282 49 123
202 122 100
408 127 93
90 126 113
351 261 4
320 312 89
352 340 56
224 53 186
333 386 89
377 268 158
383 333 170
355 72 190
177 280 169
343 276 156
285 350 42
63 446 61
119 154 140
274 80 197
38 380 150
338 67 150
194 246 98
167 387 106
189 83 56
85 115 102
267 422 187
114 264 156
136 254 113
9 33 146
264 307 122
209 247 183
32 95 197
423 380 162
136 201 174
117 345 60
193 340 54
225 55 111
246 400 187
214 425 23
369 69 188
6 409 192
303 26 78
365 315 25
85 225 173
360 134 71
288 398 119
78 224 71
414 419 193
36 403 81
414 428 3
50 378 26
194 125 24
273 12 182
404 433 106
144 226 32
393 143 23
237 15 101
288 261 14
375 321 171
236 234 112
111 447 68
86 401 141
195 446 25
120 326 177
95 159 103
272 417 79
94 2 85
119 115 120
203 101 88
11 127 11
258 221 116
127 78 44
259 415 110
233 437 166
338 328 75
376 428 30
429 224 121
153 113 124
297 138 62
296 126 65
161 353 117
81 77 12
172 112 148
4 371 191
75 39 164
441 152 63
330 301 114
59 29 166
408 228 1
409 140 104
161 8 125
178 159 114
38 2 51
61 379 194
385 56 141
62 355 36
407 223 151
374 86 157
267 277 158
427 308 138
322 20 162
297 423 18
213 118 97
336 192 24
280 380 166
260 383 97
156 354 163
435 35 55
323 308 170
33 264 8
234 12 36
168 349 76
339 424 143
355 212 142
376 310 26
72 321 27
435 356 184
1 299 80
202 44 135
288 435 157
194 277 106
213 199 82
301 14 42
56 106 143
213 162 78
175 279 153
444 397 74
141 314 76
273 219 11
118 83 113
96 120 32
241 389 86
191 148 190
341 296 154
415 202 141
445 9 136
210 393 6
65 32 104
230 376 9
43 148 150
307 362 28
168 292 130
191 364 175
352 228 16
134 114 193
175 202 193
10 421 29
128 35 76
337 199 171
438 448 5
54 72 64
307 114 11
122 40 41
15 343 20
214 392 105
319 233 151
6 26 140
304 173 99
448 85 49
272 315 114
276 396 113
447 229 170
413 420 186
390 195 66
91 296 109
419 421 2
424 433 73
153 338 171
64 202 104
24 378 1
420 66 166
29 394 148
289 244 38
360 364 50
182 239 143
159 111 22
409 255 89
197 241 150
244 281 21
299 68 137
84 36 27
336 289 54
430 425 149
124 210 58
17 445 156
369 327 12
326 106 2
50 47 185
66 415 143
426 364 143
147 349 73
177 207 174
130 5 106
377 113 176
394 366 37
337 342 15
145 157 53
87 239 83
6 316 132
231 292 26
212 238 187
341 301 63
35 94 154
267 403 9
63 184 55
104 435 104
307 149 125
168 164 110
179 401 81
169 209 51
306 312 65
204 77 44
360 53 162
140 199 83
154 75 21
3 174 32
20 279 60
109 120 172
304 346 182
405 243 86
114 399 190
123 89 38
111 412 35
359 62 160
194 166 70
188 70 59
301 22 65
268 16 156
166 331 40
63 39 83
155 336 111
185 25 181
116 302 142
116 330 111
249 124 189
128 133 157
340 14 9
342 41 124
214 29 185
29 1 72
86 375 72
84 368 154
346 219 26
227 330 51
349 160 94
187 381 117
100 118 129
130 215 22
306 277 17
317 277 67
288 232 165
441 287 22
413 322 65
60 166 103
174 25 142
346 263 24
82 307 69
319 203 108
8 82 13
437 81 115
260 35 157
141 144 197
353 155 146
309 249 92
213 182 115
240 309 123
5 246 53
70 280 39
324 19 67
110 99 87
47 263 34
9 323 147
393 438 126
298 209 3
208 49 31
43 201 79
100 353 49
383 91 116
76 213 168
287 398 19
98 179 52
267 381 50
276 209 30
221 141 161
298 413 56
426 343 162
255 199 147
165 397 189
220 89 64
226 216 122
26 316 129
185 421 106
15 208 163
212 375 150
370 331 124
1 384 126
111 388 137
338 379 194
437 115 165
92 150 136
256 288 5
138 374 65
71 409 169
382 336 153
374 303 195
427 427 197
373 400 41
375 370 144
212 142 90
320 166 6
386 17 51
266 360 65
167 244 75
10 151 96
124 290 162
123 419 159
382 169 27
161 73 175
230 311 153
133 192 96
365 425 165
53 356 61
25 223 22
23 348 178
340 406 196
145 301 144
305 232 13
423 40 29
63 313 168
109 366 109
124 60 35
255 237 120
59 96 7
67 251 168
143 188 133
407 375 48
72 284 23
82 127 184
399 124 183
419 377 21
62 233 57
141 376 125
187 328 170
394 335 78
169 19 192
247 134 29
78 177 72
348 63 104
228 159 146
59 436 39
388 344 114
2 301 129
312 251 150
393 105 70
232 16 68
164 444 35
273 273 31
152 93 178
378 121 103
415 32 191
274 438 24
230 396 170
78 343 111
283 259 127
38 321 129
252 9 14
411 134 87
43 61 73
379 435 42
19 354 68
116 139 82
258 251 15
149 109 62
414 357 8
29 140 36
66 126 187
37 184 161
281 399 129
243 284 41
17 386 11
350 138 93
33 129 153
120 195 195
309 253 48
333 86 9
115 348 44
200 416 42
190 351 13
49 74 52
175 284 92
201 55 191
48 420 181
79 332 145
191 438 100
26 384 139
293 344 53
262 211 35
41 448 186
80 41 6
442 343 11
50 429 180
372 278 74
394 271 98
327 227 191
283 79 160
169 390 160
300 325 73
31 9 168
309 178 104
71 208 197
375 223 12
120 412 57
291 114 84
