2500 3000
42 968 135
1501 1670 125
1479 1859 163
1965 706 146
782 1828 162
492 496 143
2328 437 192
2105 1403 154
293 2383 22
1217 2219 96
448 1727 172
1539 1870 113
668 1300 36
2395 1204 12
1323 334 74
2165 142 112
754 1869 148
145 163 158
38 360 124
2242 30 179
2317 536 191
1843 289 107
1541 1443 65
149 2447 6
891 1730 171
351 7 102
1894 1049 30
124 1585 155
1257 1841 167
2377 1432 109
1945 2440 27
1324 538 139
1119 2083 130
1542 2334 116
2140 2159 105
2431 1478 107
1674 2387 22
1246 1925 73
1271 830 178
574 98 113
1487 791 162
1137 2356 168
1156 575 32
2053 2351 151
1942 1725 167
931 1108 192
508 1338 58
2288 254 184
2446 1410 10
2259 1722 189
1423 2447 107
531 1414 169
901 92 163
1656 2411 160
125 538 149
1484 96 42
1103 1851 92
837 1875 21
2097 1522 149
700 2169 85
782 2235 54
2000 1419 139
1901 1289 128
468 1229 94
2149 2484 8
2422 1811 18
314 2015 110
117 1436 52
601 250 120
1557 299 104
1225 1009 45
110 2490 103
696 486 94
1844 524 188
1815 2004 49
201 959 19
581 2297 199
282 2090 199
510 2158 73
1123 1039 93
1039 1680 191
2158 459 192
2316 389 157
1512 1203 35
1773 56 129
147 1363 87
1376 934 70
143 1345 17
1882 1999 123
1152 22 100
1058 977 93
1890 76 113
101 11 4
1870 362 89
902 2290 56
1424 3 186
1683 286 89
1427 1118 158
2333 933 170
2155 722 190
2477 1330 169
1193 1426 156
935 1550 42
2013 146 61
1719 1254 140
2424 1280 197
1688 30 150
2438 2367 150
194 696 98
417 787 106
1989 1283 56
735 615 102
1317 672 187
2264 1814 156
1186 54 113
809 1833 146
1814 257 122
2059 1147 183
482 1645 197
223 2130 162
536 451 174
467 2045 60
1293 1440 54
25 1155 111
2246 650 187
814 1975 23
2169 1519 188
2406 459 192
203 1126 78
1915 1815 25
1835 875 173
160 1834 71
2488 798 119
678 274 71
1764 169 193
1486 603 81
1714 128 3
1600 528 26
1544 1925 24
2473 562 182
1004 2433 106
94 226 32
993 143 23
1287 565 101
1688 861 14
975 1771 171
236 834 112
761 1397 68
2286 51 141
1195 196 25
520 2126 177
1695 159 103
2372 2467 79
94 1352 85
1019 965 120
653 301 88
1061 1927 11
2258 2171 116
2077 228 44
259 2165 110
383 2087 166
988 2078 75
126 628 30
1929 424 121
1903 2463 124
2097 1238 62
196 26 65
761 1203 117
31 327 12
772 1412 148
1154 1521 191
2425 189 164
2441 852 63
1330 901 114
1459 79 166
508 1478 1
1059 1440 104
261 1858 125
1478 109 114
2388 2302 51
1961 2429 194
2385 1906 141
1112 1205 36
2357 1073 151
1324 1986 157
717 1627 158
1027 858 138
772 1370 162
397 523 18
113 218 97
1586 1542 24
1630 1730 166
1560 1433 97
2356 2054 163
1085 2235 55
1973 1458 170
33 464 8
2484 912 36
68 349 76
439 2224 143
1255 1512 142
176 1460 26
722 371 27
1935 206 184
1351 2399 80
202 2194 135
1638 1535 157
1994 177 106
1963 549 82
301 1914 42
2356 2356 143
1463 112 78
425 179 153
944 797 74
41 1814 76
73 319 11
1018 2433 113
696 670 32
41 1489 86
1591 1998 190
991 146 154
1815 1152 141
2045 1259 136
1260 1193 6
265 2182 104
1330 1276 9
1793 998 150
2057 562 28
1468 2042 130
1241 314 175
602 1078 16
1184 714 193
825 602 193
760 171 29
528 1585 76
1287 499 171
1288 1348 5
504 1222 64
707 2364 11
2172 2490 41
2165 543 20
914 92 105
1819 1733 151
206 2476 140
304 1423 99
1248 1085 49
472 365 114
1076 1546 113
47 1179 170
263 1020 186
790 945 66
1041 746 109
819 371 2
824 1133 73
2153 88 171
2264 2402 104
1924 1028 1
1970 1516 166
29 1544 148
2089 444 38
2410 1464 50
2182 1589 143
609 2061 22
1759 2455 89
1647 691 150
344 1431 21
749 2068 137
784 536 27
186 2039 54
630 1225 149
2424 860 58
2267 2445 156
819 227 12
1026 356 2
50 1997 185
2016 465 143
576 414 143
1197 1949 73
427 2107 174
1930 2405 106
627 2313 176
94 1566 37
2237 1642 15
995 757 53
1437 839 83
1356 1016 132
731 342 26
2012 138 187
2191 1651 63
1635 894 154
1417 953 9
2263 2234 55
1304 1635 104
1757 149 125
2318 1714 110
1529 1701 81
1319 1859 51
1656 1362 65
1904 1177 44
1910 2403 162
990 2449 83
1154 675 21
403 1924 32
1870 1379 60
1509 120 172
4 1946 182
1505 2393 86
314 1699 190
223 939 38
1411 1462 35
9 2462 160
1494 1516 70
2438 1370 59
2201 1472 65
118 1216 156
316 831 40
213 1789 83
1955 1086 111
1985 2275 181
2316 952 142
616 1680 111
899 574 189
1478 633 157
1190 1114 9
442 791 124
1364 29 185
2279 2201 72
1886 1975 72
1334 368 154
1796 2169 26
2177 630 51
99 810 94
2187 81 117
2250 1668 129
1680 365 22
906 1327 17
17 227 67
1588 182 165
1341 687 22
1663 2222 65
1810 416 103
2374 2125 142
246 1763 24
32 2307 69
1819 603 108
1808 982 13
1137 1631 115
1810 1585 157
2291 1294 197
1653 1055 146
2209 249 92
1213 132 115
1440 459 123
2205 1996 53
270 2480 39
1424 419 67
160 2499 87
1197 2463 34
2159 2023 147
893 538 126
648 1959 3
808 1599 31
1793 2101 79
800 853 49
1383 541 116
