100 150
42 68 135
1 70 125
79 59 163
65 6 146
82 28 162
92 96 143
28 37 192
5 3 154
93 83 22
17 19 96
48 27 172
39 70 113
68 100 36
95 4 12
23 34 74
65 42 112
54 69 148
45 63 158
38 60 124
42 30 179
17 36 191
43 89 107
41 43 65
49 47 6
91 30 171
51 7 102
94 49 30
24 85 155
57 41 167
77 32 109
45 40 27
24 38 139
19 83 130
42 34 116
40 59 105
31 78 107
74 87 22
46 25 73
71 30 178
74 98 113
87 91 162
37 56 168
56 75 32
53 51 151
42 25 167
31 8 192
8 38 58
88 54 184
46 10 10
59 22 189
23 47 107
31 14 169
1 92 163
56 11 160
25 38 149
84 96 42
3 51 92
37 75 21
97 22 149
100 69 85
82 35 54
100 19 139
1 89 128
68 29 94
49 84 8
22 11 18
14 15 110
17 36 52
1 50 120
57 99 104
25 9 45
10 90 103
96 86 94
44 24 188
15 4 49
1 59 19
81 97 199
82 90 199
10 58 73
23 39 93
39 80 191
58 59 192
16 89 157
12 3 35
73 56 129
47 63 87
76 34 70
43 45 17
82 99 123
52 22 100
58 77 93
90 76 113
1 11 4
70 62 89
2 90 56
24 3 186
83 86 89
27 18 158
33 33 170
55 22 190
77 30 169
93 26 156
35 50 42
13 46 61
19 54 140
24 80 197
88 30 150
38 67 150
94 96 98
17 87 106
89 83 56
35 15 102
17 72 187
64 14 156
86 54 113
9 33 146
14 57 122
59 47 183
82 45 197
23 30 162
36 51 174
67 45 60
93 40 54
25 55 111
46 50 187
14 75 23
69 19 188
6 59 192
3 26 78
15 15 25
35 75 173
60 34 71
88 98 119
78 74 71
64 69 193
86 3 81
14 28 3
100 28 26
44 25 24
73 62 182
4 33 106
94 26 32
93 43 23
87 65 101
88 61 14
75 71 171
36 34 112
61 97 68
86 51 141
95 96 25
