1000 1500
42 468 135
501 170 125
479 359 163
465 706 146
282 828 162
492 996 143
828 437 192
605 903 154
293 383 22
717 719 96
448 727 172
539 870 113
668 300 36
895 704 12
323 334 74
665 142 112
254 869 148
645 663 158
38 860 124
742 530 179
317 36 191
843 289 107
41 943 65
649 447 6
891 730 171
351 7 102
394 549 30
624 85 155
757 841 167
377 932 109
945 440 27
324 538 139
119 83 130
542 834 116
640 659 105
931 978 107
674 387 22
746 925 73
271 830 178
574 98 113
987 291 162
637 356 168
656 575 32
53 351 151
942 725 167
431 108 192
8 338 58
288 754 184
946 910 10
759 222 189
423 947 107
31 414 169
901 592 163
656 411 160
625 538 149
484 596 42
603 351 92
837 375 21
597 22 149
200 669 85
282 735 54
1000 419 139
901 789 128
468 729 94
649 484 8
422 311 18
814 515 110
617 936 52
601 250 120
557 799 104
225 9 45
610 990 103
196 486 94
344 524 188
315 504 49
201 459 19
581 797 199
282 590 199
10 158 73
623 539 93
39 180 191
658 959 192
816 889 157
512 203 35
273 56 129
647 363 87
876 434 70
143 845 17
882 999 123
652 22 100
558 477 93
390 76 113
601 511 4
870 862 89
402 790 56
424 3 186
183 286 89
427 618 158
833 933 170
155 722 190
977 330 169
693 426 156
435 550 42
513 146 61
719 754 140
424 280 197
688 530 150
438 867 150
194 196 98
417 287 106
489 283 56
735 115 102
317 672 187
264 314 156
186 54 113
809 833 146
314 757 122
559 647 183
482 145 197
223 130 162
536 451 174
467 45 60
293 440 54
25 155 111
746 650 187
314 475 23
169 19 188
906 959 192
203 626 78
415 315 25
335 875 173
160 834 71
488 298 119
178 774 71
764 669 193
986 103 81
214 628 3
100 528 26
544 925 24
973 62 182
4 433 106
594 726 32
493 143 23
287 65 101
188 361 14
975 271 171
236 834 112
761 897 68
286 551 141
695 696 25
20 126 177
695 659 103
372 467 79
594 852 85
19 465 120
153 801 88
61 927 11
758 171 116
577 228 44
759 165 110
883 87 166
488 578 75
626 628 30
929 424 121
903 963 124
597 738 62
196 526 65
261 203 117
31 327 12
772 412 148
154 521 191
925 189 164
941 852 63
830 901 114
959 579 166
8 478 1
59 440 104
761 358 125
478 109 114
888 802 51
461 429 194
385 406 141
112 705 36
357 73 151
824 486 157
217 627 158
527 358 138
272 870 162
897 23 18
113 718 97
586 42 24
130 230 166
560 933 97
856 54 163
585 735 55
973 458 170
533 964 8
484 912 36
68 849 76
939 224 143
755 512 142
176 460 26
222 871 27
935 206 184
851 399 80
702 194 135
638 535 157
994 177 106
963 549 82
301 414 42
856 856 143
463 612 78
425 679 153
444 297 74
41 314 76
73 819 11
18 933 113
696 170 32
41 489 86
91 498 190
991 146 154
315 652 141
45 259 136
760 193 6
265 182 104
830 776 9
293 998 150
557 562 28
468 542 130
241 814 175
602 78 16
684 214 193
825 602 193
760 671 29
28 85 76
787 499 171
288 848 5
504 222 64
707 364 11
172 490 41
165 543 20
914 592 105
819 233 151
206 976 140
304 423 99
248 585 49
972 865 114
76 546 113
547 679 170
263 520 186
290 945 66
541 246 109
319 871 2
324 133 73
153 88 171
764 902 104
424 528 1
970 16 166
29 544 148
89 944 38
410 464 50
682 589 143
609 61 22
759 955 89
147 691 150
844 431 21
749 68 137
784 36 27
186 39 54
630 225 149
924 360 58
767 945 156
319 727 12
26 356 2
550 497 185
516 965 143
76 914 143
197 949 73
427 607 174
430 405 106
627 813 176
94 566 37
737 142 15
995 257 53
937 839 83
356 16 132
231 842 26
12 638 187
691 651 63
635 894 154
417 453 9
263 234 55
304 635 104
257 149 125
318 214 110
29 201 81
319 859 51
156 362 65
904 677 44
910 903 162
490 949 83
654 675 21
403 924 32
370 879 60
9 620 172
4 946 182
505 393 86
314 699 190
723 939 38
411 462 35
509 962 160
494 516 70
938 870 59
701 972 65
118 216 156
816 331 40
213 289 83
955 86 111
485 775 181
816 952 142
116 680 111
899 74 189
978 133 157
690 114 9
942 791 124
364 29 185
779 201 72
886 975 72
334 868 154
296 169 26
677 630 51
599 310 94
687 81 117
250 668 129
680 865 22
406 827 17
517 727 67
88 682 165
341 687 22
663 722 65
310 416 103
874 125 142
746 763 24
532 807 69
319 603 108
308 482 13
137 631 115
810 85 157
291 294 197
153 55 146
709 249 92
713 132 115
440 959 123
705 996 53
270 480 39
424 919 67
660 499 87
197 463 34
159 23 147
393 38 126
648 459 3
808 99 31
293 601 79
800 353 49
883 541 116
576 763 168
337 398 19
898 829 52
817 231 50
926 659 30
521 941 161
148 163 56
676 793 162
755 399 147
715 947 189
570 639 64
76 516 122
476 616 129
235 571 106
465 558 163
162 525 150
470 331 124
351 334 126
911 738 137
338 279 194
637 715 165
592 950 136
506 338 5
338 624 65
971 609 169
282 86 153
374 653 195
877 827 197
573 250 41
175 820 144
612 942 90
420 566 6
586 217 51
616 610 65
167 894 75
510 301 96
574 590 162
173 969 159
32 269 27
511 423 175
780 911 153
183 392 96
765 875 165
903 256 61
475 973 22
123 548 178
790 606 196
595 951 144
755 482 13
673 440 29
913 763 168
409 416 109
224 760 35
205 487 120
959 946 7
167 701 168
693 788 133
557 975 48
22 284 23
332 377 184
949 724 183
19 777 21
112 183 57
491 926 125
487 678 170
644 535 78
669 69 192
197 784 29
728 427 72
698 613 104
28 409 146
509 186 39
238 444 114
502 851 129
112 651 150
193 455 70
682 466 68
714 794 35
473 973 31
902 443 178
878 771 103
365 382 191
824 238 24
180 596 170
328 43 111
183 59 127
488 671 129
652 259 14
861 784 87
743 611 73
129 435 42
719 504 68
866 939 82
258 751 15
599 459 62
64 757 8
279 490 36
366 76 187
387 834 161
331 49 129
493 434 41
767 736 11
600 838 93
983 329 153
370 245 195
609 253 48
433 536 9
265 498 44
650 16 42
190 101 13
649 524 52
475 634 92
201 855 191
698 920 181
579 932 145
341 488 100
526 484 139
493 194 53
12 561 35
841 498 186
530 541 6
792 393 11
550 579 180
972 278 74
194 621 98
827 277 191
583 579 160
419 490 160
450 925 73
381 9 168
209 478 104
371 608 197
75 723 12
20 762 57
891 164 84
717 933 53
742 955 14
863 397 61
616 905 200
137 681 199
33 388 185
241 518 7
671 242 83
250 524 159
106 622 96
297 917 79
179 580 59
